PM2.5,PM10,NO2,SO2,O3,Temperature,Humidity,Industrial_Proximity,Population_Density,Risk_Score,Disease_Risk
37.44,61.72,8.87,11.3,47.05,29.04,46.24,0,19794.65,31.66,Low
49.34,61.44,25.31,22.24,7.4,26.31,50.85,1,23222.72,57.09,Moderate
57.91,110.26,4.45,18.69,7.88,29.77,42.71,1,8669.95,60.57,Moderate
8.36,14.25,11.93,19.37,41.22,26.29,72.95,0,24381.52,15.05,Low
18.4,24.5,28.94,22.29,35.22,31.48,80.33,0,20333.99,27.49,Low
54.47,122.15,24.88,6.5,33.64,22.56,57.71,1,6039.64,66.7,Moderate
28.41,67.88,51.03,30.44,34.45,21.99,66.7,0,14859.82,41.45,Low
48.65,106.22,33.44,15.24,30.04,16.75,65.5,0,24553.94,48.76,Low
12.1,27.45,10.64,23.77,42.98,46.74,64.45,0,21295.25,28.32,Low
72.75,107.77,20.89,11.28,62.02,24.22,42.64,0,9402.3,53.87,Moderate
11.32,17.46,17.72,13.74,21.32,29.36,50.18,0,8004.91,17.27,Low
36.73,54.03,2.5,6.48,49.06,22.89,71.4,0,20571.73,27.46,Low
37.35,81.97,70.01,3.82,41.65,40.92,78.24,0,13954.55,56.65,Moderate
22.81,55.48,25.74,9.63,5.0,24.89,74.24,0,4504.34,23.91,Low
44.19,94.21,29.25,19.91,26.89,28.27,60.25,0,8531.9,42.19,Low
44.99,105.53,39.83,6.67,40.2,16.28,72.03,0,16714.42,49.55,Low
41.96,85.19,40.2,1.83,83.29,42.6,36.94,1,4252.39,74.68,Moderate
22.51,38.35,43.2,26.74,25.5,27.17,29.7,0,17618.55,32.11,Low
19.45,34.1,18.52,3.27,27.79,42.97,39.37,0,17893.25,28.84,Low
24.27,31.51,16.8,14.85,48.26,18.99,100.0,0,7133.29,27.22,Low
17.51,21.73,52.36,40.13,37.73,20.58,91.17,0,10251.75,34.88,Low
64.07,134.8,71.17,84.87,14.77,19.73,36.04,1,23418.54,93.06,High
25.78,45.64,4.43,10.06,5.3,22.16,56.66,0,18854.81,19.16,Low
36.05,69.14,51.08,27.04,5.0,31.71,53.52,0,19801.36,43.21,Low
54.33,104.59,20.9,15.02,57.0,4.52,79.42,0,13148.5,55.91,Moderate
16.87,26.32,23.68,4.45,19.39,24.52,69.82,0,5721.93,19.11,Low
10.92,19.86,1.33,9.32,87.4,17.19,54.33,1,14985.77,40.33,Low
17.56,31.82,25.28,7.24,29.44,16.12,68.44,0,19416.56,25.9,Low
38.65,65.89,15.72,26.26,55.43,29.68,71.6,1,595.14,57.27,Moderate
36.96,83.79,2.17,38.97,16.77,28.0,32.07,0,3287.52,30.89,Low
41.91,74.87,55.87,8.09,43.8,33.63,67.98,0,12120.21,50.51,Moderate
30.27,60.09,29.0,1.91,68.27,28.87,59.71,1,11211.31,55.77,Moderate
2.92,6.9,32.28,13.34,33.0,26.8,42.82,0,24565.93,17.07,Low
29.62,68.91,55.56,4.78,18.29,19.41,51.13,0,2757.75,40.51,Low
58.81,138.66,40.72,3.71,32.55,15.73,64.25,0,8430.32,57.87,Moderate
68.15,105.69,7.45,5.98,35.68,30.99,61.87,0,20470.21,47.22,Low
34.5,42.97,47.3,5.53,20.29,22.44,57.16,1,15504.48,56.15,Moderate
37.05,57.04,5.63,16.21,73.06,28.99,55.47,0,14259.55,33.14,Low
48.08,75.12,38.54,19.32,40.38,24.95,60.83,0,18659.43,44.3,Low
66.99,159.57,81.17,14.71,65.6,4.56,35.92,1,1479.58,105.35,High
32.51,66.45,38.78,4.76,61.49,29.84,85.73,0,23713.55,40.33,Low
47.66,62.26,19.15,4.9,74.02,18.74,54.56,1,5185.97,62.06,Moderate
21.8,29.99,79.33,10.82,14.82,33.64,67.59,0,2505.02,42.4,Low
12.31,17.27,28.91,8.51,52.89,6.41,84.27,1,8804.36,50.76,Moderate
23.48,47.43,10.94,11.8,29.92,43.99,77.02,0,17707.73,31.09,Low
76.27,164.45,14.71,15.78,37.16,19.04,64.53,1,6171.34,79.64,Moderate
48.26,111.85,14.3,10.7,18.38,29.71,58.35,0,1721.6,40.05,Low
13.28,32.18,91.65,18.15,86.5,17.87,59.65,0,1906.61,50.05,Moderate
49.67,72.62,38.32,13.75,25.3,19.23,35.58,0,6786.14,45.41,Low
14.11,22.62,39.29,18.83,53.06,31.85,41.7,0,3814.21,30.31,Low
41.54,62.83,34.8,3.46,14.29,22.98,63.6,0,9624.61,36.12,Low
16.37,27.29,30.52,1.54,34.91,23.67,54.33,0,4740.29,22.74,Low
12.68,30.29,16.99,4.59,61.21,33.49,37.53,1,8935.7,44.02,Low
83.93,163.47,8.72,24.91,46.95,26.89,64.35,0,11389.93,60.67,Moderate
25.77,55.66,32.61,13.83,21.17,29.48,71.33,1,18692.21,51.4,Moderate
47.72,87.67,77.76,6.54,25.7,18.75,77.48,0,6071.29,57.53,Moderate
33.41,41.35,31.41,5.63,43.26,31.67,67.97,0,12139.06,35.14,Low
15.01,19.27,59.43,19.74,39.65,26.12,50.53,0,20476.2,32.26,Low
27.71,52.63,4.28,14.11,13.74,29.3,70.26,0,24666.24,22.57,Low
15.12,32.27,31.52,2.85,32.38,28.64,64.22,0,14154.0,24.07,Low
120.17,177.85,16.1,2.82,37.08,36.3,46.12,1,11091.85,100.32,High
53.08,113.52,10.42,18.35,51.37,30.05,45.62,1,15972.56,65.21,Moderate
33.0,74.37,67.04,6.31,60.26,13.4,72.74,0,12414.24,53.2,Moderate
46.14,80.07,17.89,2.05,53.42,19.06,64.71,0,4536.54,40.35,Low
50.99,110.67,38.26,2.0,46.79,27.26,63.86,0,11756.46,48.95,Low
51.08,88.12,23.07,16.23,47.25,28.98,60.95,0,24487.96,44.5,Low
49.74,103.54,7.42,6.63,49.54,11.75,69.03,0,16190.5,44.72,Low
47.4,103.95,42.1,20.94,59.14,15.08,52.32,1,7444.09,74.95,Moderate
34.8,86.64,18.95,12.12,73.84,35.94,58.09,1,23705.08,62.33,Moderate
80.1,132.09,46.59,7.78,20.55,44.66,71.18,1,10020.25,91.89,High
36.28,62.91,12.01,11.5,31.04,8.46,60.55,0,10057.97,36.93,Low
33.64,47.61,16.35,42.95,60.21,27.58,48.76,0,15606.69,34.73,Low
36.48,53.45,37.25,4.29,20.1,25.48,49.68,0,14439.86,33.79,Low
38.19,80.25,12.89,27.96,14.09,35.11,60.67,0,7615.7,36.43,Low
8.42,20.14,41.61,18.52,27.17,29.96,21.22,1,11943.47,44.92,Low
17.42,29.85,3.34,6.95,41.47,33.29,86.26,1,8646.57,39.95,Low
30.27,43.41,8.84,18.51,30.43,2.19,57.39,0,18575.62,35.4,Low
8.05,12.64,26.59,13.38,47.39,24.93,67.28,0,3501.32,18.57,Low
32.96,59.06,39.35,10.53,34.32,15.94,69.56,0,18881.15,39.91,Low
37.86,59.74,27.52,8.45,33.1,16.19,63.78,0,4448.59,37.93,Low
11.86,17.83,36.15,23.86,6.62,12.74,39.51,0,7996.56,26.55,Low
20.7,44.65,18.04,11.83,51.98,27.28,44.0,0,8666.63,25.68,Low
69.81,84.48,3.02,4.66,52.24,28.33,37.66,0,24765.1,44.63,Low
46.43,88.27,19.94,11.15,36.26,31.31,76.42,1,14950.64,61.28,Moderate
44.79,99.96,20.31,2.16,42.98,20.97,36.86,1,19550.08,60.53,Moderate
64.73,100.08,56.1,6.34,42.94,38.84,50.05,0,14106.76,64.58,Moderate
17.68,35.09,41.03,18.04,61.03,15.68,79.6,0,24587.37,35.46,Low
11.89,24.61,9.59,4.05,44.45,10.67,43.06,0,4845.84,22.11,Low
59.54,122.14,2.08,54.48,13.29,27.19,62.24,0,15319.42,44.53,Low
30.85,54.9,22.96,0.69,78.16,18.15,71.39,0,20035.86,36.03,Low
17.33,28.6,16.01,8.28,65.78,30.32,59.12,1,15899.63,44.66,Low
8.36,19.11,73.91,19.48,40.99,18.42,62.34,0,22474.94,36.77,Low
36.75,80.34,57.28,2.29,43.1,19.21,68.0,0,15217.35,47.35,Low
28.48,46.07,7.41,19.76,45.79,18.4,86.79,0,20747.74,28.08,Low
25.23,33.65,40.16,18.71,24.59,17.68,45.99,0,4807.03,33.5,Low
4.04,5.23,35.8,8.85,62.3,24.98,53.41,0,6920.57,20.0,Low
79.48,105.11,34.83,4.82,60.21,27.39,69.49,0,11379.68,60.45,Moderate
10.11,19.79,122.25,11.71,38.27,17.66,57.05,0,21364.63,51.37,Moderate
26.96,34.16,23.55,18.08,53.45,13.29,51.59,0,10950.71,34.27,Low
23.91,39.17,43.65,5.23,60.87,29.99,75.47,1,15872.74,55.68,Moderate
47.3,103.08,47.96,10.43,44.54,28.88,26.62,0,10197.38,51.05,Moderate
8.44,13.36,32.74,2.43,19.38,32.15,76.92,0,20240.15,20.29,Low
43.81,96.04,73.26,21.99,53.72,14.57,83.82,0,5407.05,61.89,Moderate
36.87,79.98,29.34,37.98,41.13,16.73,56.92,0,15047.35,43.59,Low
19.97,30.34,46.23,7.48,18.11,33.23,40.27,0,14658.31,31.56,Low
42.84,92.0,14.25,5.88,60.7,33.96,62.66,0,10379.42,41.75,Low
32.92,71.52,8.78,25.6,44.74,20.91,67.22,0,17775.64,32.03,Low
90.83,155.93,37.05,25.25,35.41,15.47,35.39,0,1197.68,73.87,Moderate
28.46,41.94,24.47,20.2,81.44,17.98,61.23,0,21116.75,36.59,Low
15.63,29.34,25.56,3.3,29.1,15.35,89.24,0,9025.15,24.92,Low
44.09,105.71,19.55,0.18,21.14,32.98,78.94,1,19929.05,60.19,Moderate
26.07,52.95,45.53,10.02,43.13,32.13,67.87,0,7973.96,38.26,Low
32.48,46.28,28.95,16.26,36.9,25.81,66.13,1,5103.71,52.03,Moderate
11.97,24.99,99.11,7.52,28.83,18.22,60.58,0,10042.49,44.05,Low
47.76,83.83,28.24,24.86,68.18,16.19,62.26,0,20035.49,49.67,Low
23.19,45.66,33.9,6.14,17.56,18.84,58.58,1,17736.19,49.46,Low
38.73,83.44,49.49,1.61,46.2,16.11,63.07,0,10325.26,47.91,Low
104.4,195.17,36.87,7.49,41.75,27.27,35.53,0,23477.78,78.4,Moderate
27.35,61.75,9.16,15.11,39.78,32.62,27.53,0,10515.02,29.16,Low
51.86,110.91,21.77,3.98,63.11,32.94,48.74,0,9093.44,49.04,Low
28.66,57.31,13.42,13.88,81.08,16.16,75.48,1,4045.61,55.14,Moderate
20.17,28.15,35.52,9.97,40.01,19.02,68.9,0,2221.83,29.53,Low
71.27,162.98,30.99,37.37,57.76,19.47,72.69,1,9072.61,86.38,Moderate
6.25,15.11,47.39,22.58,40.82,35.19,61.43,0,2754.05,29.67,Low
60.21,82.97,51.9,58.32,41.58,11.66,78.22,0,11834.56,64.61,Moderate
5.52,10.13,13.4,3.06,49.03,24.97,79.99,0,21570.23,12.47,Low
56.46,86.75,51.19,28.83,43.37,16.25,77.92,0,12164.86,58.21,Moderate
32.82,71.57,56.68,0.92,21.77,23.08,49.77,0,12274.23,40.51,Low
15.66,33.48,11.03,24.06,66.62,31.94,60.83,0,6709.3,25.46,Low
24.32,33.63,33.94,1.5,48.99,21.77,53.05,0,4574.24,29.93,Low
50.13,117.31,63.87,19.53,39.07,17.47,82.13,1,5947.06,80.57,Moderate
98.58,141.49,21.5,14.02,27.47,32.48,76.84,1,14415.72,87.92,Moderate
8.75,19.57,25.68,15.35,45.84,26.3,66.86,0,14998.93,19.93,Low
16.42,29.46,33.78,0.72,35.14,29.82,70.34,1,5894.6,45.64,Low
11.09,18.04,28.55,18.45,43.64,27.65,64.38,1,10273.55,42.34,Low
28.5,40.06,29.95,1.6,36.22,12.85,46.01,0,14432.73,34.25,Low
57.39,81.38,40.46,37.46,23.38,38.05,76.08,0,19131.32,55.84,Moderate
9.84,20.26,41.59,5.78,72.21,23.01,90.27,0,8334.35,27.23,Low
32.23,61.75,25.0,8.07,21.12,33.42,67.58,1,7148.24,53.7,Moderate
56.28,76.47,78.23,28.52,24.38,21.5,58.19,0,18396.44,60.67,Moderate
24.07,32.41,13.36,12.05,53.56,30.66,49.1,0,13088.4,26.27,Low
37.09,48.0,46.41,12.23,46.2,35.11,56.15,0,21490.29,44.46,Low
68.13,147.64,2.22,16.9,53.21,33.82,40.88,0,5669.57,54.11,Moderate
14.12,30.02,27.04,4.28,50.06,26.05,46.28,0,19388.1,22.72,Low
6.92,8.83,1.68,5.7,24.94,21.6,57.49,0,4469.82,8.92,Low
40.08,77.29,28.43,12.56,53.4,10.92,64.75,0,14826.9,45.93,Low
40.8,53.45,36.53,39.44,27.14,12.62,37.87,0,7449.03,45.47,Low
22.89,54.35,19.98,20.92,61.08,36.16,62.89,0,2976.73,34.37,Low
19.75,46.98,26.43,30.52,20.04,16.76,83.74,0,15610.73,29.7,Low
33.26,70.1,43.77,24.94,24.14,33.04,66.53,1,12916.57,62.37,Moderate
13.92,33.46,0.2,20.14,24.7,34.14,67.43,0,12406.51,18.03,Low
13.94,31.43,17.3,9.87,46.2,29.55,66.09,0,15016.73,21.79,Low
49.93,113.69,65.16,3.9,38.96,28.91,35.99,0,9624.71,57.13,Moderate
13.16,25.54,8.94,4.54,42.29,13.34,37.32,1,16919.11,41.01,Low
7.35,11.74,14.8,26.85,37.64,11.51,68.97,0,3705.67,21.75,Low
19.72,29.24,3.23,18.07,38.94,18.41,70.65,0,18016.8,20.77,Low
23.29,37.85,17.43,11.78,30.36,41.53,75.67,1,14705.44,50.81,Moderate
43.81,88.36,24.0,0.52,9.78,38.75,80.25,0,12418.58,41.46,Low
21.01,29.93,119.32,9.82,12.1,25.37,52.25,0,3627.43,49.57,Low
75.11,115.38,34.86,25.44,23.97,37.94,74.56,0,7317.48,63.45,Moderate
34.42,62.25,18.14,18.04,33.56,15.65,74.35,0,7734.77,35.27,Low
17.72,26.63,5.74,8.2,69.29,21.31,83.04,0,6228.41,21.07,Low
42.64,83.8,14.9,13.39,19.61,40.87,84.05,0,23877.4,41.14,Low
74.31,178.35,12.4,5.81,18.15,46.02,54.15,1,22933.22,84.18,Moderate
49.08,106.63,2.53,2.73,5.0,32.72,58.81,0,13880.26,35.69,Low
9.33,19.27,8.66,5.38,50.02,9.11,63.12,0,5538.98,21.74,Low
24.74,48.43,18.65,23.5,35.73,38.5,47.59,0,22822.89,33.0,Low
38.34,70.33,20.98,29.34,14.12,22.32,76.62,0,18860.46,34.35,Low
47.82,68.98,43.21,24.5,39.43,32.23,56.82,0,1449.91,49.0,Low
28.62,67.63,67.17,22.35,28.33,25.99,77.54,0,12522.43,43.93,Low
25.92,39.48,20.6,3.54,65.9,35.07,82.69,1,15321.14,52.47,Moderate
90.43,119.26,47.5,8.93,26.59,25.47,55.77,0,2128.6,66.14,Moderate
49.53,107.73,18.16,9.81,73.96,52.29,33.82,0,1720.86,58.06,Moderate
42.73,61.02,11.43,7.11,43.44,34.65,59.57,0,11856.34,36.5,Low
21.67,36.47,41.7,3.95,32.1,12.42,80.06,1,547.82,54.72,Moderate
13.76,17.02,17.91,13.98,34.86,8.22,79.86,1,1647.47,45.85,Low
43.2,59.54,12.87,13.53,45.86,8.34,58.49,1,4545.87,61.36,Moderate
52.91,75.41,10.92,8.67,34.64,30.95,61.83,0,22794.28,39.29,Low
32.38,41.14,4.97,34.67,21.49,34.62,57.71,1,19273.95,48.98,Low
49.61,101.89,26.37,7.47,52.62,-1.12,51.1,0,11535.44,57.02,Moderate
50.4,115.33,15.53,10.43,59.83,37.21,34.26,0,12240.54,49.48,Low
55.08,92.83,48.77,2.23,60.54,28.5,67.79,0,17307.6,53.98,Moderate
9.19,21.47,79.1,20.34,36.79,41.17,52.75,1,12122.47,63.35,Moderate
25.24,37.28,10.86,28.56,61.84,15.32,63.22,1,2066.17,50.96,Moderate
44.86,72.8,6.92,1.85,46.31,27.91,70.17,1,18598.92,53.57,Moderate
33.61,46.92,68.53,16.96,34.15,27.83,73.56,1,1914.87,65.22,Moderate
50.5,101.34,28.46,8.21,28.78,17.26,49.68,0,12409.28,46.44,Low
42.71,74.56,27.68,21.3,58.41,12.31,45.35,1,21611.83,67.16,Moderate
4.37,8.73,32.61,14.32,6.34,34.31,68.83,0,3375.8,19.13,Low
63.24,138.51,54.78,14.34,67.77,27.29,69.92,0,17812.38,64.94,Moderate
23.03,43.98,54.52,13.49,42.52,28.94,51.55,0,1635.03,37.54,Low
16.93,34.13,40.3,41.37,28.06,38.63,74.92,1,24829.96,56.03,Moderate
61.97,149.71,8.89,2.77,25.7,24.6,59.43,1,17211.12,65.47,Moderate
48.12,76.44,3.86,20.55,31.13,28.15,48.85,0,24240.25,34.79,Low
67.27,112.14,8.97,3.57,54.12,28.52,45.25,0,16871.49,48.34,Low
38.62,82.37,5.4,21.71,46.23,28.79,67.32,0,6435.94,33.99,Low
25.01,49.89,43.77,19.81,30.82,10.91,63.6,0,23195.93,40.23,Low
35.77,51.23,14.62,5.26,29.18,24.8,65.7,0,15853.42,27.36,Low
14.66,24.76,39.69,67.86,46.28,36.58,43.41,0,14610.46,37.45,Low
10.85,19.62,25.35,32.78,94.87,23.72,26.62,0,11013.24,27.31,Low
20.49,35.76,14.43,10.74,94.67,20.27,69.16,0,7472.55,29.01,Low
79.49,113.81,11.06,13.75,61.02,34.69,78.01,0,13486.7,58.81,Moderate
22.05,52.95,13.54,27.38,24.51,25.14,35.71,0,9468.41,23.43,Low
7.5,16.43,7.03,3.05,55.08,18.7,53.69,0,21423.6,15.71,Low
29.18,53.27,80.56,17.04,25.12,16.39,99.59,1,1205.56,69.69,Moderate
21.84,45.51,23.16,10.54,35.42,24.46,68.45,0,13487.24,25.1,Low
63.94,151.31,25.37,33.62,67.31,18.38,79.61,1,20995.84,81.72,Moderate
76.12,104.82,24.85,1.24,35.12,34.01,84.44,0,1176.36,56.53,Moderate
24.2,36.92,42.99,14.59,34.34,17.39,52.74,0,7416.42,34.97,Low
38.59,73.54,12.44,3.03,29.89,27.78,95.12,1,1762.3,51.21,Moderate
40.7,91.11,56.73,17.26,23.66,29.2,33.93,0,15077.59,48.6,Low
31.44,39.21,19.38,12.1,34.76,31.33,67.63,0,8260.03,30.16,Low
27.67,68.61,18.75,13.31,54.81,40.7,65.18,1,24013.39,58.22,Moderate
16.07,28.78,62.87,22.71,53.54,11.47,43.45,0,15599.19,42.55,Low
6.4,10.68,12.26,18.67,45.88,31.08,48.87,0,14264.15,16.8,Low
15.99,25.28,34.07,5.92,63.53,31.23,50.8,0,22972.37,29.21,Low
30.69,43.79,24.69,0.75,5.51,14.14,38.32,0,5977.6,30.12,Low
9.85,21.96,14.35,1.49,41.05,27.61,38.8,0,14274.94,16.0,Low
37.29,91.07,38.16,6.2,25.82,20.8,55.18,0,13798.17,40.77,Low
34.06,59.18,8.26,13.56,79.69,39.02,52.72,0,2511.8,38.35,Low
21.86,53.3,14.24,11.12,34.88,19.31,50.15,1,23335.46,45.79,Low
26.86,61.01,27.0,13.95,54.83,22.85,72.48,1,17655.75,52.9,Moderate
11.42,20.85,72.68,28.14,59.95,21.2,48.74,0,22258.59,39.17,Low
54.48,113.11,68.23,6.55,32.53,16.62,64.02,0,24572.17,61.67,Moderate
53.91,95.17,34.45,21.53,58.59,9.51,59.98,1,12251.52,77.18,Moderate
13.17,25.37,19.75,13.11,60.85,16.67,55.27,0,20189.67,25.29,Low
13.48,17.2,2.88,30.3,55.8,26.44,39.48,0,14650.21,17.3,Low
16.16,34.02,47.86,14.41,29.56,27.82,57.44,0,24439.51,30.03,Low
46.26,58.69,52.76,38.19,11.39,33.12,50.38,1,6556.98,69.22,Moderate
40.61,91.88,34.1,20.04,82.77,35.5,74.42,0,838.52,51.19,Moderate
61.54,139.85,20.49,25.74,34.18,29.01,69.58,1,5055.72,72.74,Moderate
65.77,99.19,44.91,6.27,60.09,32.97,51.18,1,3636.46,80.32,Moderate
9.06,14.69,24.15,29.82,30.71,30.24,46.6,0,11205.33,21.01,Low
45.23,82.57,21.93,38.68,81.96,13.99,46.59,1,2396.55,70.5,Moderate
64.18,126.8,5.41,18.23,30.03,28.81,56.31,0,5894.84,46.71,Low
25.67,40.39,43.24,9.04,42.01,25.12,75.73,0,2858.51,32.44,Low
31.98,63.01,27.77,26.35,86.44,19.35,77.71,0,12425.44,41.53,Low
28.8,45.71,67.99,21.35,8.03,25.12,20.0,1,7036.04,59.49,Moderate
29.68,37.76,15.24,47.28,64.12,28.57,82.78,1,12039.68,53.15,Moderate
54.36,65.41,11.54,17.71,39.49,22.98,58.23,0,2677.76,38.48,Low
88.46,117.78,52.4,10.65,54.15,34.92,39.37,0,13163.33,74.32,Moderate
73.54,163.99,60.37,12.95,33.04,28.41,59.23,0,3686.7,70.23,Moderate
22.61,55.4,25.32,5.06,72.72,33.74,47.6,0,2933.99,34.33,Low
38.67,67.87,46.32,8.79,23.76,37.56,84.78,1,8095.48,65.69,Moderate
18.08,33.75,19.33,1.11,40.74,21.04,51.31,1,21923.23,42.57,Low
19.51,27.14,20.19,10.27,58.71,20.55,45.65,1,19818.77,45.7,Low
31.04,59.48,34.23,26.8,23.59,36.57,91.49,1,23999.17,59.46,Moderate
19.12,26.54,19.98,50.84,42.55,17.3,66.0,0,11774.78,29.48,Low
21.3,42.49,30.52,8.32,19.5,24.02,52.35,0,8154.81,25.2,Low
38.08,91.89,27.23,19.36,31.96,20.13,87.79,0,24287.21,40.16,Low
44.83,65.2,9.2,10.65,92.49,15.09,79.63,0,9853.32,42.48,Low
44.08,96.7,30.4,8.16,66.83,29.98,50.78,1,723.03,66.41,Moderate
44.35,54.58,9.47,3.77,53.32,22.32,47.92,0,20592.66,33.09,Low
12.12,20.45,43.77,35.95,47.38,15.73,61.48,1,4645.66,52.99,Moderate
18.39,24.72,53.02,1.82,8.68,34.25,57.57,1,18088.85,51.41,Moderate
33.34,55.29,22.1,4.65,36.26,11.76,49.33,1,870.49,56.21,Moderate
62.41,88.98,73.0,20.17,58.45,23.52,59.7,0,3219.26,64.36,Moderate
117.62,198.22,59.61,34.46,31.16,33.9,86.22,0,12347.31,95.76,High
39.68,69.15,30.77,6.74,47.21,34.15,75.7,0,2163.5,41.99,Low
51.18,81.41,20.3,12.42,19.93,29.28,65.82,1,22271.46,60.07,Moderate
11.0,22.59,49.88,15.26,18.24,16.2,54.89,1,18871.79,49.37,Low
50.33,120.5,73.92,17.28,85.62,26.61,58.09,0,8540.54,65.45,Moderate
99.33,170.92,32.6,28.46,82.58,28.56,70.26,0,15139.25,79.49,Moderate
18.34,26.6,16.85,7.39,38.29,20.58,69.05,1,18030.41,41.83,Low
21.81,33.85,40.8,20.79,24.44,28.77,60.98,0,19007.28,30.76,Low
55.41,128.02,25.13,12.77,21.16,10.22,76.29,1,10194.06,73.29,Moderate
33.06,64.25,11.04,19.37,48.03,7.47,42.53,0,22520.61,38.47,Low
5.87,10.52,18.18,2.66,78.69,18.58,74.76,1,23573.73,40.2,Low
22.78,31.77,52.84,8.41,26.02,31.93,69.31,0,5295.02,35.05,Low
75.93,135.51,23.06,20.22,43.98,33.6,38.6,0,22825.35,61.56,Moderate
26.72,41.74,16.24,3.44,42.97,12.21,50.15,0,17960.67,30.77,Low
26.71,64.79,61.61,2.25,73.31,39.68,82.47,1,22259.38,70.54,Moderate
53.26,125.12,51.77,1.14,45.61,25.9,67.89,0,10906.48,54.47,Moderate
40.6,53.15,18.79,3.98,12.08,9.51,58.27,0,16699.34,36.54,Low
25.72,48.14,84.85,7.31,55.05,28.04,64.93,0,6266.8,48.31,Low
20.77,31.0,23.94,21.19,43.42,37.72,60.19,1,18901.99,51.41,Moderate
150.78,261.45,32.71,3.53,22.66,20.15,65.4,0,14752.47,101.31,High
68.46,160.18,26.96,17.13,61.2,34.77,74.04,0,12283.16,64.21,Moderate
44.34,83.62,12.64,9.82,33.74,39.42,87.16,0,17470.7,41.46,Low
46.14,75.42,22.5,3.65,46.67,25.41,45.36,0,14032.46,37.98,Low
29.81,43.83,24.82,15.17,42.89,17.55,77.47,0,19251.19,33.29,Low
40.29,90.27,4.07,11.01,34.03,36.7,54.43,0,21531.68,36.72,Low
27.69,55.7,31.52,10.21,23.77,36.67,41.57,1,20114.85,55.33,Moderate
17.09,30.91,47.36,1.72,51.19,12.42,79.64,0,8033.91,35.72,Low
41.31,61.25,9.59,29.97,15.6,23.98,49.64,0,24414.92,30.59,Low
26.06,42.59,41.6,31.46,58.57,32.21,74.97,0,16418.66,39.77,Low
42.69,104.49,54.72,25.01,22.92,32.76,76.18,0,8424.93,52.61,Moderate
47.82,89.72,22.78,7.39,16.7,22.11,89.15,0,1543.23,38.79,Low
44.12,75.93,83.87,6.11,68.05,15.41,78.53,1,24708.36,82.61,Moderate
16.04,30.11,30.96,28.75,41.88,40.71,79.55,0,15175.93,33.63,Low
24.13,53.39,3.86,7.43,5.0,25.89,77.69,1,6074.74,37.84,Low
26.41,43.37,7.95,3.53,39.74,23.21,63.38,0,12532.53,22.51,Low
59.16,84.73,32.0,30.98,52.23,19.12,80.33,0,10239.74,53.0,Moderate
57.29,112.31,40.07,27.53,52.77,22.98,56.06,1,23808.45,75.2,Moderate
19.22,39.68,26.54,11.78,24.52,9.25,50.65,0,12570.19,31.12,Low
11.88,25.26,30.62,19.9,27.36,34.99,68.92,0,12374.36,26.19,Low
120.92,283.75,27.14,12.9,43.26,22.29,78.59,0,19967.69,91.86,High
43.03,72.39,14.97,4.3,60.77,3.99,57.43,1,10077.33,65.95,Moderate
10.59,13.74,27.2,7.57,13.7,15.15,54.08,0,5314.7,20.82,Low
21.56,52.73,5.91,5.06,14.84,34.58,38.46,1,19325.77,42.45,Low
60.67,107.11,19.51,21.68,67.42,23.58,47.66,0,22797.66,50.45,Moderate
103.86,208.78,38.12,4.91,64.35,17.11,49.55,0,1620.29,84.73,Moderate
93.78,193.78,11.96,20.47,21.15,26.32,78.39,0,21567.55,65.31,Moderate
41.88,80.02,20.93,14.22,32.25,22.01,53.93,0,11227.65,37.18,Low
32.57,47.78,28.64,9.24,82.16,26.1,67.22,0,7583.77,36.09,Low
14.86,32.42,80.62,4.83,57.6,28.2,37.49,0,1459.92,41.21,Low
34.43,77.29,51.53,14.89,39.01,16.84,79.51,1,5535.31,66.43,Moderate
16.47,31.6,5.68,24.48,62.85,19.24,63.53,0,8655.31,23.07,Low
24.3,44.59,93.68,1.25,30.35,17.66,39.72,1,2231.76,69.11,Moderate
55.38,74.66,64.52,4.75,43.16,17.95,52.22,1,5125.36,77.29,Moderate
27.59,36.12,30.04,31.07,33.8,18.72,48.37,0,18552.59,33.29,Low
26.32,43.21,45.72,11.39,54.15,22.1,63.47,0,17328.09,36.57,Low
31.4,50.38,13.52,22.54,54.04,18.92,54.64,0,19361.05,32.35,Low
131.5,320.83,24.91,32.82,44.46,26.6,55.53,0,4548.82,100.69,High
13.61,30.2,12.81,9.17,50.08,21.86,47.44,1,1554.24,39.8,Low
39.1,80.46,39.77,3.31,62.73,17.93,41.58,0,11980.45,45.75,Low
88.85,166.4,112.81,0.88,49.33,5.74,72.31,0,8898.23,100.67,High
31.34,44.43,18.68,28.22,44.51,15.97,74.95,1,19529.96,54.37,Moderate
67.69,167.34,22.89,15.64,48.53,21.35,50.01,0,13701.26,58.92,Moderate
11.21,18.91,25.58,6.87,64.24,34.58,67.48,0,23313.92,25.95,Low
28.22,37.79,19.52,16.53,21.52,24.3,46.6,0,1999.56,25.08,Low
17.84,32.87,38.17,7.16,48.32,9.87,71.78,0,9410.07,34.99,Low
31.12,72.7,54.28,22.82,5.0,25.98,57.97,1,10428.39,59.27,Moderate
31.56,74.28,16.11,11.07,34.34,20.47,48.91,0,3584.29,31.69,Low
33.8,41.04,25.33,4.21,77.7,30.71,44.67,0,14783.89,36.27,Low
55.06,129.52,41.81,19.41,24.19,10.38,76.37,1,1484.96,79.19,Moderate
